initial state: #..#####.#.#.##....####..##.#.#.##.##.#####..####.#.##.....#..#.#.#...###..#..###.##.#..##.#.#.....#

.#.## => #
.###. => #
#..#. => .
...## => .
#.##. => #
....# => .
..##. => #
.##.. => .
##..# => .
.#..# => #
#.#.# => .
#.... => .
.#### => #
.##.# => .
..#.. => #
####. => #
#.#.. => .
.#... => .
###.# => .
..### => .
#..## => #
...#. => #
..... => .
###.. => #
#...# => .
..#.# => #
##... => #
##.## => .
##.#. => .
##### => .
.#.#. => #
#.### => #
